SENTENCE_JUDGE,STATUS,prop_over,prop_at,prop_below,count
Stanley  Sacks,Active,0.441082803,0.280254777,0.27866242,1256
Vincent M Gaughan,Active,0.441269841,0.250793651,0.307936508,1260
Thomas V Gainer,Active,0.380766224,0.281469898,0.337763878,1279
Carol M Howard,Retention,0.392857143,0.305900621,0.301242236,1288
James Michael Obbish,Active,0.433076923,0.234615385,0.332307692,1300
Kevin M Sheehan,Active,0.397692308,0.259230769,0.343076923,1300
Matthew E Coghlan,Retention,0.432311144,0.304412865,0.263275991,1337
Colleen Ann Hyland,Active,0.413741598,0.324122479,0.262135922,1339
James B Linn,Active,0.466221232,0.248700817,0.285077951,1347
William G Lacy,Active,0.415593705,0.289699571,0.294706724,1398
Lawrence Edward Flood,Active,0.360714286,0.286428571,0.352857143,1400
Mary Margaret Brosnahan,Retention,0.35035461,0.297163121,0.35248227,1410
Neil J Linehan,Active,0.31211499,0.465434634,0.222450376,1461
William T O'Brien,Active,0.40896921,0.334672021,0.256358768,1494
Nicholas R Ford,Active,0.378014582,0.29669097,0.325294448,1783
